index,predicted_class,predicted_probability,lung_energy_fraction
399,Pneumonia,0.8841400146484375,0.5149396061897278
318,Pneumonia,0.9999284744262695,0.2871025502681732
259,Pneumonia,0.99983811378479,0.31213533878326416
515,Pneumonia,0.0470275804400444,0.2923034131526947
53,Pneumonia,0.9992602467536926,0.4769457280635834
56,Pneumonia,0.999782145023346,0.24878400564193726
112,Pneumonia,0.9997703433036804,0.3074728548526764
511,Pneumonia,0.9998006224632263,0.5711138844490051
479,Pneumonia,0.30362725257873535,0.13024862110614777
419,Pneumonia,0.9308440089225769,0.4401957392692566
78,Pneumonia,0.9998363256454468,0.3333711624145508
121,Pneumonia,0.9992309808731079,0.4568127393722534
591,Pneumonia,0.05720050632953644,0.15213502943515778
313,Pneumonia,0.9999781847000122,0.3834485113620758
514,Pneumonia,0.9992087483406067,0.3482024073600769
483,Pneumonia,0.9180665016174316,0.25165778398513794
228,Pneumonia,0.9999932050704956,0.2765263617038727
446,Pneumonia,0.9995624423027039,0.49730947613716125
249,Pneumonia,0.9999268054962158,0.30715644359588623
262,Pneumonia,0.9991719722747803,0.2939375042915344
623,Pneumonia,0.9816814064979553,0.42072197794914246
339,Pneumonia,0.9996547698974609,0.21616561710834503
276,Pneumonia,0.9998329877853394,0.366092711687088
307,Pneumonia,0.9998624324798584,0.3180713355541229
461,Pneumonia,0.012383370660245419,0.23255355656147003
572,Pneumonia,0.9060555100440979,0.32613810896873474
436,Pneumonia,0.9820048809051514,0.36870303750038147
390,Pneumonia,0.9502485394477844,0.4793391227722168
51,Pneumonia,0.9999710321426392,0.29793259501457214
462,Pneumonia,0.12293998152017593,0.3032222390174866
