index,predicted_class,predicted_probability,lung_energy_fraction
399,Pneumonia,0.008902300149202347,0.4649905264377594
318,Pneumonia,0.9999973773956299,0.44042930006980896
259,Pneumonia,1.0,0.5041113495826721
515,Pneumonia,0.00024555998970754445,0.7252151370048523
53,Pneumonia,0.9997645020484924,0.6484766006469727
56,Pneumonia,0.9999991655349731,0.42857617139816284
112,Pneumonia,0.9999974966049194,0.48017215728759766
511,Pneumonia,0.99981290102005,0.675349235534668
479,Pneumonia,0.0031575162429362535,0.7581841349601746
419,Pneumonia,0.008753055706620216,0.6200963854789734
78,Pneumonia,1.0,0.5058247447013855
121,Pneumonia,0.9999969005584717,0.643491804599762
591,Pneumonia,0.3022828698158264,0.6411507725715637
313,Pneumonia,0.999997615814209,0.4335407316684723
514,Pneumonia,0.9987782835960388,0.484814316034317
483,Pneumonia,0.0795092061161995,0.2478531301021576
228,Pneumonia,0.9999994039535522,0.37735462188720703
446,Pneumonia,0.989931583404541,0.6712483763694763
249,Pneumonia,0.9999998807907104,0.4018707275390625
262,Pneumonia,0.9979515671730042,0.47472846508026123
623,Pneumonia,0.9275176525115967,0.6907235980033875
339,Pneumonia,0.9999964237213135,0.459774374961853
276,Pneumonia,0.9998364448547363,0.5294883251190186
307,Pneumonia,0.9994668364524841,0.38535991311073303
461,Pneumonia,0.0005116406246088445,nan
572,Pneumonia,0.2730267643928528,0.5418788194656372
436,Pneumonia,0.9108184576034546,0.5709114074707031
390,Pneumonia,0.02462637983262539,0.7422447204589844
51,Pneumonia,1.0,0.46461689472198486
462,Pneumonia,0.05593118444085121,0.3957347571849823
