index,predicted_class,predicted_probability,lung_energy_fraction
399,Pneumonia,0.050038713961839676,0.4487684667110443
318,Pneumonia,0.999482274055481,0.39611637592315674
259,Pneumonia,0.9990878105163574,0.4236447215080261
515,Pneumonia,0.002827061340212822,0.1770963817834854
53,Pneumonia,0.9887702465057373,0.6023551821708679
56,Pneumonia,0.9994602799415588,0.3607896864414215
112,Pneumonia,0.9993176460266113,0.4226192831993103
511,Pneumonia,0.9994576573371887,0.615687906742096
479,Pneumonia,0.005698953755199909,nan
419,Pneumonia,0.3436150550842285,0.21570758521556854
78,Pneumonia,0.9991286396980286,0.38889092206954956
121,Pneumonia,0.9988663196563721,0.5378077626228333
591,Pneumonia,0.02124955877661705,nan
313,Pneumonia,0.9995039701461792,0.4409630298614502
514,Pneumonia,0.9925984144210815,0.33380749821662903
483,Pneumonia,0.5215973854064941,0.5073838233947754
228,Pneumonia,0.9999151229858398,0.2690044939517975
446,Pneumonia,0.9928513765335083,0.6104267239570618
249,Pneumonia,0.9995326995849609,0.39191845059394836
262,Pneumonia,0.9066646099090576,0.6980074048042297
623,Pneumonia,0.4420223534107208,0.44669318199157715
339,Pneumonia,0.9990414977073669,0.4179845452308655
276,Pneumonia,0.9981470108032227,0.38858795166015625
307,Pneumonia,0.9901031255722046,0.47313860058784485
461,Pneumonia,0.013824263587594032,0.13532662391662598
572,Pneumonia,0.9576024413108826,0.2553187310695648
436,Pneumonia,0.9534028172492981,0.6449071168899536
390,Pneumonia,0.08817675709724426,0.26672258973121643
51,Pneumonia,0.9992308616638184,0.409422904253006
462,Pneumonia,0.025071540847420692,0.35354968905448914
