index,predicted_class,predicted_probability,lung_energy_fraction
399,Pneumonia,0.2718072831630707,0.23847618699073792
318,Pneumonia,0.9999305009841919,0.4906555116176605
259,Pneumonia,0.9993928670883179,0.4896773099899292
515,Pneumonia,0.043041594326496124,nan
53,Pneumonia,0.9987837672233582,0.5906023383140564
56,Pneumonia,0.9999383687973022,0.40474098920822144
112,Pneumonia,0.9998606443405151,0.4382401406764984
511,Pneumonia,0.9997667670249939,0.6366758942604065
479,Pneumonia,0.10908262431621552,0.09364841878414154
419,Pneumonia,0.3196859359741211,0.4586956202983856
78,Pneumonia,0.9997519850730896,0.45607221126556396
121,Pneumonia,0.9998237490653992,0.6000829935073853
591,Pneumonia,0.30406665802001953,0.3042454719543457
313,Pneumonia,0.999893307685852,0.5324011445045471
514,Pneumonia,0.9985508322715759,0.5410287380218506
483,Pneumonia,0.8836079239845276,0.22421520948410034
228,Pneumonia,0.9999833106994629,0.3632495105266571
446,Pneumonia,0.9993770718574524,0.6458344459533691
249,Pneumonia,0.9999352693557739,0.42424020171165466
262,Pneumonia,0.9760529398918152,0.45488324761390686
623,Pneumonia,0.9418331384658813,0.6811056137084961
339,Pneumonia,0.9995965361595154,0.373108446598053
276,Pneumonia,0.999829888343811,0.4798651933670044
307,Pneumonia,0.9931405186653137,0.38829073309898376
461,Pneumonia,0.03270215913653374,0.06853429973125458
572,Pneumonia,0.9046515822410583,0.33109280467033386
436,Pneumonia,0.8988261818885803,0.3949638605117798
390,Pneumonia,0.5572644472122192,0.4219265282154083
51,Pneumonia,0.9998158812522888,0.3704829514026642
462,Pneumonia,0.15162160992622375,0.33333656191825867
