index,predicted_class,predicted_probability,lung_energy_fraction
399,Pneumonia,0.11279430240392685,nan
318,Pneumonia,0.9994109869003296,0.298546701669693
259,Pneumonia,0.9997410178184509,0.38694536685943604
515,Pneumonia,0.028368668630719185,nan
53,Pneumonia,0.9908457398414612,0.5948680639266968
56,Pneumonia,0.9988711476325989,0.2787255346775055
112,Pneumonia,0.998479425907135,0.42659059166908264
511,Pneumonia,0.9955798983573914,0.5341253876686096
479,Pneumonia,0.013322332873940468,nan
419,Pneumonia,0.10392975807189941,0.029901906847953796
78,Pneumonia,0.9996198415756226,0.41742807626724243
121,Pneumonia,0.9972473978996277,0.5566729307174683
591,Pneumonia,0.12356548756361008,nan
313,Pneumonia,0.9991770386695862,0.34948012232780457
514,Pneumonia,0.9895219206809998,0.4395225942134857
483,Pneumonia,0.13476191461086273,nan
228,Pneumonia,0.9998332262039185,0.33293941617012024
446,Pneumonia,0.9897247552871704,0.6087836623191833
249,Pneumonia,0.9996778964996338,0.35185888409614563
262,Pneumonia,0.7793144583702087,0.5933651924133301
623,Pneumonia,0.32304710149765015,nan
339,Pneumonia,0.9984807372093201,0.30235156416893005
276,Pneumonia,0.9983184337615967,0.4304598867893219
307,Pneumonia,0.9556511044502258,0.25180909037590027
461,Pneumonia,0.009990094229578972,nan
572,Pneumonia,0.9336898922920227,0.39914852380752563
436,Pneumonia,0.9297647476196289,0.5848466753959656
390,Pneumonia,0.20380403101444244,nan
51,Pneumonia,0.9994827508926392,0.35831767320632935
462,Pneumonia,0.006415138952434063,nan
